iter	Passed	Remaining
0	136	136439
1	138	69201
2	139	46290
3	139	34819
4	140	27932
5	140	23337
6	141	20063
7	142	17611
8	142	15705
9	143	14173
10	143	12921
11	144	11880
12	144	11000
13	145	10243
14	145	9586
15	146	9011
16	147	8502
17	147	8048
18	148	7643
19	148	7278
20	149	6951
21	149	6651
22	150	6376
23	150	6123
24	151	5891
25	151	5678
26	152	5481
27	152	5296
28	153	5127
29	153	4970
30	154	4821
31	154	4680
32	155	4547
33	155	4423
34	156	4308
35	156	4201
36	157	4098
37	157	3999
38	158	3906
39	159	3818
40	159	3732
41	160	3654
42	160	3581
43	161	3511
44	162	3440
45	162	3373
46	163	3308
47	163	3247
48	164	3188
49	164	3132
50	165	3079
51	166	3026
52	166	2976
53	167	2926
54	167	2878
55	168	2832
56	168	2788
57	169	2745
58	169	2706
59	170	2669
60	170	2630
61	171	2594
62	172	2559
63	172	2524
64	173	2492
65	173	2460
66	174	2428
67	174	2393
68	175	2363
69	175	2333
70	176	2304
71	176	2276
72	177	2249
73	177	2223
74	178	2197
75	178	2172
76	179	2147
77	179	2123
78	180	2100
79	180	2077
80	181	2054
81	181	2032
82	182	2012
83	182	1992
84	183	1970
85	183	1953
86	184	1933
87	184	1914
88	185	1896
89	185	1879
90	186	1862
91	187	1846
92	187	1829
93	188	1812
94	188	1796
95	189	1780
96	189	1764
97	190	1750
98	190	1735
99	191	1720
100	191	1706
101	191	1690
102	192	1676
103	192	1662
104	193	1648
105	193	1635
106	194	1623
107	195	1610
108	195	1598
109	196	1586
110	196	1574
111	197	1563
112	197	1552
113	198	1541
114	198	1530
115	199	1518
116	199	1508
117	200	1498
118	200	1487
119	201	1477
120	201	1467
121	202	1458
122	202	1446
123	203	1436
124	203	1427
125	204	1417
126	204	1408
127	205	1397
128	205	1389
129	206	1380
130	206	1371
131	207	1363
132	207	1354
133	208	1345
134	208	1337
135	209	1329
136	209	1321
137	210	1312
138	210	1305
139	211	1298
140	211	1290
141	212	1283
142	212	1275
143	213	1268
144	213	1261
145	214	1254
146	215	1247
147	215	1240
148	216	1234
149	216	1227
150	217	1220
151	217	1213
152	218	1207
153	218	1201
154	219	1197
155	220	1192
156	221	1187
157	222	1183
158	222	1178
159	223	1173
160	224	1167
161	224	1163
162	225	1158
163	226	1152
164	226	1147
165	227	1142
166	227	1137
167	228	1132
168	229	1127
169	230	1123
170	230	1118
171	231	1113
172	231	1108
173	232	1103
174	233	1098
175	233	1093
176	234	1088
177	234	1084
178	235	1080
179	236	1075
180	236	1070
181	237	1065
182	237	1062
183	238	1057
184	239	1053
185	239	1049
186	240	1045
187	240	1040
188	241	1036
189	242	1032
190	242	1027
191	243	1023
192	243	1019
193	244	1014
194	244	1010
195	245	1006
196	245	1001
197	246	997
198	246	993
199	247	989
200	247	985
201	248	980
202	248	976
203	249	972
204	249	968
205	250	964
206	250	960
207	251	957
208	252	954
209	252	950
210	253	946
211	253	943
212	254	939
213	254	936
214	255	932
215	255	928
216	256	925
217	256	921
218	257	918
219	257	914
220	258	910
221	258	907
222	259	903
223	259	900
224	260	896
225	260	893
226	261	890
227	261	886
228	262	883
229	262	879
230	263	877
231	264	874
232	264	870
233	265	867
234	265	864
235	266	861
236	266	858
237	267	855
238	267	852
239	268	849
240	268	846
241	269	843
242	269	840
243	270	837
244	270	834
245	271	831
246	271	829
247	272	826
248	272	823
249	273	820
250	273	817
251	274	814
252	275	812
253	275	809
254	276	806
255	276	803
256	277	801
257	277	798
258	278	795
259	278	792
260	279	790
261	279	787
262	280	784
263	280	782
264	281	780
265	281	778
266	282	775
267	283	773
268	283	770
269	284	768
270	284	766
271	285	763
272	285	761
273	286	758
274	286	756
275	287	753
276	287	751
277	288	748
278	288	746
279	289	744
280	289	741
281	290	739
282	290	736
283	291	734
284	291	731
285	292	729
286	292	727
287	293	725
288	294	723
289	294	721
290	295	719
291	295	717
292	296	715
293	296	712
294	297	710
295	297	708
296	298	706
297	299	704
298	299	702
299	300	700
300	300	698
301	301	696
302	301	694
303	302	692
304	302	690
305	303	688
306	303	686
307	304	683
308	304	681
309	305	679
310	305	677
311	306	675
312	307	674
313	307	672
314	308	670
315	308	668
316	309	666
317	310	665
318	310	663
319	311	661
320	311	659
321	312	657
322	312	655
323	313	654
324	313	652
325	314	650
326	314	648
327	315	646
328	315	644
329	316	642
330	316	640
331	317	638
332	317	636
333	318	634
334	318	632
335	319	631
336	319	629
337	320	627
338	321	625
339	321	624
340	322	622
341	322	620
342	323	619
343	323	617
344	324	615
345	324	614
346	325	612
347	325	610
348	326	608
349	326	607
350	327	605
351	327	603
352	328	601
353	328	599
354	329	598
355	329	596
356	330	595
357	330	593
358	331	591
359	331	589
360	332	588
361	332	586
362	333	584
363	333	583
364	334	581
365	334	580
366	335	578
367	336	577
368	336	575
369	337	574
370	337	572
371	338	571
372	338	569
373	339	568
374	340	566
375	340	565
376	341	563
377	341	562
378	342	560
379	342	558
380	343	557
381	343	555
382	344	554
383	344	552
384	345	551
385	345	549
386	346	548
387	346	546
388	347	545
389	347	543
390	348	542
391	348	540
392	349	539
393	349	538
394	350	537
395	351	535
396	351	534
397	352	533
398	352	531
399	353	530
400	353	528
401	354	527
402	354	525
403	355	524
404	355	522
405	356	521
406	356	519
407	357	518
408	357	517
409	358	515
410	358	514
411	359	512
412	359	511
413	360	510
414	361	508
415	361	507
416	362	506
417	362	505
418	363	503
419	363	502
420	364	501
421	364	499
422	365	498
423	366	497
424	366	496
425	367	494
426	367	493
427	368	492
428	368	490
429	369	489
430	369	488
431	370	487
432	371	485
433	371	484
434	372	483
435	372	482
436	373	480
437	373	479
438	374	478
439	374	477
440	375	476
441	376	474
442	376	473
443	377	472
444	377	471
445	378	469
446	379	468
447	379	467
448	380	466
449	380	465
450	381	463
451	381	462
452	382	461
453	382	460
454	383	459
455	383	457
456	384	456
457	384	455
458	385	454
459	385	453
