iter	Passed	Remaining
0	147	147018
1	147	73745
2	148	49308
3	148	37087
4	149	29764
5	150	24881
6	150	21385
7	151	18756
8	151	16711
9	152	15073
10	152	13734
11	153	12618
12	153	11672
13	154	10866
14	154	10165
15	155	9550
16	155	9009
17	156	8527
18	156	8095
19	157	7706
20	157	7363
21	158	7047
22	159	6756
23	159	6488
24	160	6241
25	160	6014
26	161	5803
27	161	5608
28	162	5425
29	162	5255
30	163	5096
31	163	4947
32	164	4807
33	164	4675
34	165	4551
35	165	4433
36	166	4322
37	166	4217
38	167	4116
39	167	4021
40	168	3931
41	168	3844
42	169	3762
43	169	3686
44	170	3615
45	171	3548
46	171	3485
47	172	3427
48	173	3366
49	174	3306
50	174	3248
51	175	3191
52	175	3136
53	176	3083
54	176	3032
55	176	2983
56	177	2936
57	177	2890
58	178	2847
59	179	2805
60	179	2764
61	180	2725
62	180	2687
63	181	2651
64	181	2616
65	182	2581
66	182	2547
67	183	2515
68	184	2483
69	184	2452
70	185	2423
71	185	2394
72	186	2366
73	186	2339
74	187	2312
75	188	2287
76	188	2264
77	189	2240
78	190	2215
79	190	2191
80	191	2168
81	191	2146
82	192	2121
83	192	2100
84	193	2080
85	193	2060
86	194	2040
87	195	2021
88	195	2002
89	196	1983
90	196	1964
91	197	1947
92	197	1929
93	198	1912
94	198	1894
95	199	1877
96	199	1860
97	200	1844
98	200	1829
99	201	1815
100	202	1800
101	202	1786
102	203	1772
103	204	1759
104	204	1745
105	205	1732
106	206	1719
107	206	1706
108	207	1693
109	207	1681
110	208	1669
111	208	1656
112	209	1645
113	210	1634
114	210	1623
115	211	1611
116	211	1599
117	212	1588
118	213	1577
119	213	1567
120	214	1556
121	214	1546
122	215	1536
123	216	1526
124	216	1516
125	217	1506
126	217	1496
127	218	1488
128	219	1479
129	219	1470
130	220	1461
131	220	1452
132	221	1444
133	222	1435
134	222	1426
135	223	1418
136	223	1410
137	224	1402
138	225	1394
139	225	1386
140	226	1378
141	226	1369
142	227	1362
143	227	1354
144	228	1346
145	229	1339
146	229	1332
147	230	1324
148	230	1317
149	231	1310
150	231	1303
151	232	1296
152	232	1289
153	233	1283
154	234	1277
155	234	1270
156	235	1265
157	236	1258
158	236	1252
159	237	1246
160	237	1239
161	238	1232
162	238	1226
163	239	1220
164	240	1214
165	240	1209
166	241	1203
167	241	1197
168	242	1191
169	242	1186
170	243	1180
171	244	1174
172	244	1169
173	245	1164
174	245	1158
175	246	1153
176	246	1147
177	247	1142
178	247	1137
179	248	1132
180	249	1127
